 ,Content
1,Phone is superb! It is smooth and does it work as per its processor and the given features. The look and feel of this model is having the Oneplus core Signature built value. Overall a nice phone.
2,"One of the best phones from OnePlus
Amazing camera 80w super fast charger definitely go for it"
3,I will say that I am happy with this phone when I saw the heating problem in the review I was worried but this is not my case. The camera is the best. saturation as well as naturally it does not smooth out the picture which is really good. It looks like a premium phone. One thing is the lack of earphone aux port. May be I bought the phone after a long time but I am someone who uses aux as I usually forget to charge with BT earphones.
4,"Very good processor and camera.
Look and feel is also premium"
5,"Great product,good photos and no lags even after adding many apps. Very fast charging. Smooth interface. Fast face recognition and good finger print access. after using for one week, no major heating issues even after ok installing 90+ apps. Works as expected. No major issues till first week of heavy apps usage not includiny any gaming."
6,"Wonderful deal... Value for money phone and future proof.

PROS:

1. Flagship processor - Dimensity 1200

2. Amoled screen with corning gorilla glass 5 protection 90hz hdr

3. Dual speakers,

4.80 w fast charging,

5. Decent oxygen os UI,

6. Good Cameras - both front and back,

7. Ultra lightweight

8. Good numbers of 5g bands

9. Carrier aggregation on both sims.

10. Ufs3.1 storage for better reading speeds

CONS:
1. merging with color os
2.software needed to be polished
3.3.5mm jack support not provided

All in one package if you are looking under 30k
Oneplus was legendary brand in Indian market"
7,"I like this phone ..
Camera quality is good
Perfect for gaming
Amazing mobile
Outstanding look"
8,"It isvry gd phone and my first one plus mobile so it is very gd specially Display,smoothness and its camera i wil give 5/5"
9,It's working perfectly fine.. no heating problem. Good battery performance. Am happy!
10,Switched from Nord to Nord2t. Good camera and charging speed. Phone is very fast.
11,Hot and not good quality product
