"address","name","online_order","book_table","rate","votes","location","rest_type","dish_liked","cuisines","approx_cost.for.two.people.","reviews_list","menu_item","Casual Dining","Quick Bites","Cafe","Bar","Delivery","Dessert","Pub","Fine Dining","North India","Chinese","Continental","Fast Food","South India","Biryani","Beverage","Italian"
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore","Spicy Tandoor","0","0","NEW",0,"Banashankari","Quick Bites","","North Indian",150,"[('Rated 4.0', 'RATED\n  cost for chicken rolls is very high but fine taste by pandey and is crew. pls deduct the cost of rolls and great variety of food is been served'), ('Rated 5.0', 'RATED\n  Awesome taste, feel rich taste of food, cleanness is very good, very friendly nature by the hotel person, totally awesome, all the best gud luck')]","[]",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru","Om Sri Vinayaka Chats","0","0","NEW",0,"Banashankari","Takeaway, Delivery","","Street Food, Fast Food",500,"[]","[]",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"594, 24 The Cross BSK, Opposte Oriental Bank, Banashankari, Bangalore","Hari Super Sandwich","0","0","NEW",0,"Banashankari","Takeaway, Delivery","","Sandwich, Pizza, Beverages",200,"[('Rated 1.0', 'RATED\n  I have been here many times when it was located in bda to have crispy n crunchy sandwiches, but now they have shifted to another shop, at present the taste of sandwichs are pathetic, i never expected this..'), ('Rated 1.0', 'RATED\n  For once known to be serving one of the best sandwich s in Bangalore to this. The quality has gone really bad. They have increased the prices and have replaced the cheese slices with the modest portion of mayo for almost all of their sandwiches.\n\nThey also cheap out in adding tomatoes or any other vegetables for chats and you actually need to tell the guy to add all that! He bluntly says he cannot. Talk about customer service.\n\nThe quality and experience has really come down and I would recommend to not go there due to this experience.')]","[]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"28, 4th Cross Road, Dwaraka Nagar, Banashankari, Bengaluru","Roll Magic Fast Food","0","0","NEW",0,"Banashankari","Takeaway, Delivery","","Biryani, Rolls, Chinese",200,"[]","[]",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"3/16, 22 Main Road, Magenta Block, PES College, Road Bank Colony, Banashankari, Bangalore","Foodlieious Multi Cuisine","0","0","NEW",0,"Banashankari","Quick Bites","","North Indian",100,"[]","[]",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"17/1, Ramaiah Garden, Kadirenahalli Circle, Dr Vishnuvardhan Main Road, 2nd Stage, Banashankari, Bangalore","Thanishka Nati And Karavali Style","0","0","NEW",0,"Banashankari","Quick Bites","","Biryani, Fast Food",400,"[]","[]",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Bhuvaneshwari Nagar BSK 3RD Stage, Banashankari, Bangalore","Melting Melodies","0","0","NEW",0,"Banashankari","Takeaway, Delivery","","Pizza, Fast Food",100,"[]","[]",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"77, 50 Ft Road, Hanumathnagara, Banashankari, Bangalore","New Indraprasta","0","0","NEW",0,"Banashankari","Quick Bites","","South Indian, Beverages",150,"[]","[]",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"12, Banashankari, Bangalore","Bitez","0","0","NEW",0,"Banashankari","Quick Bites","","Fast Food",100,"[('Rated 1.0', ""RATED\n  Not a good place. Overrated items. I ordered potato twister which was half baked and over priced. Not good ambience also. I don't recommend u this place for sure."")]","[]",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"14/1, 8th Fmain, 3rd Block, Jayanagar, Bangalore","SSV Upahar","1","0","NEW",0,"Jayanagar","Quick Bites","","South Indian, Chinese",300,"[]","['Idli', 'Vada', 'Thatte Idli', 'Thatte Vada', 'Puri', 'Tomato Rice Bath', 'Puliyogare', 'Lemon Rice', 'Masala Dosa', 'Set Dosa', 'Kali Dosa', 'Plain Dosa', 'Pulao']",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"99, 3rd Main Road, Hanumanthnagar, Banashankari, Bangalore","Sai Super Sandwich","1","0","NEW",0,"Banashankari","Quick Bites","","Sandwich, Beverages",200,"[]","[]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Shop 9, East Anjanaiya Temple Street, Gandhi Bazar, Basavanagudi, Bangalore","Right Pizza","1","0","NEW",0,"Basavanagudi","Quick Bites","","Pizza",300,"[]","[]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203 4th Main, 4th Cross, Chamrajpet, Basavanagudi, Bangalore","The Sip Shop","1","0","NEW",0,"Basavanagudi","Quick Bites","","Pizza, Beverages, Ice Cream",200,"[('Rated 5.0', 'RATED\n  Good food great taste and good packing and really great quality and really happy with the food and quick delivery.. good food great taste .. zomato should really tie with such restaurants')]","[]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"916, 1st Stage, 24th Cross Road, Kumaraswamy Layout, Bangalore","Sri Banashankari Upahara","1","0","NEW",0,"Kumaraswamy Layout","Quick Bites","","North Indian, South Indian",150,"[]","[]",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"4, 12th Cross, Kadarenahalli, 2nd Stage, Banashankari, Bangalore","Hyderabad Express","1","0","NEW",0,"Banashankari","Quick Bites","","Hyderabadi, Biryani, South Indian, Andhra, Beverages",300,"[('Rated 1.0', 'RATED\n  I have never seen such a bad restaurant. I ordered food from zomato and food is spoiled. DonÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92t ever dare to order from this hotel. They just cheat by naming as Hyderabad express'), ('Rated 5.0', 'RATED\n  I love Hyderabadi biryani, So IÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92m eagerly waiting for this restaurant to open to have a great meal. I and my buddyÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s are really waiting for this restaurant to open as we can meet up and have a good and healthy meal.??'), ('Rated 5.0', 'RATED\n  Food is really awesome the packing of food looks nice\nGood. I tell my friends and cousins also to visit this site.there are many flavors in ? chicken I tried two of them...'), ('Rated 5.0', ""RATED\n  Waiting to have food in Hyderabad Express, because it's hydrabadi, and hydarbadi food is so tasty, every one should taste food from this resturant""), ('Rated 5.0', ""RATED\n  Good and satisfying taste of biryani,nice to see people are coming with such deliciousness in food, thank you so much Zomato,ur fulfilling your word's with restaurant likeHyderabad express in taste and authentication n hygiene""), ('Rated 5.0', ""RATED\n  I'm waiting to taste this delicious taste of Hyderabadi biryani, good food and good services I expect ,youth taste and people of Hyderabad Love this platform Big thumbs up for ur restaurant""), ('Rated 5.0', ""RATED\n  Eagerly waiting for the amazing food and delicious meals..\nAwesome taste and preference\nWow Hyderabad express can't wait more ...\nFresh and hygienic food management.""), ('Rated 5.0', 'RATED\n  waiting very curiously ? awesome delicious food, amazing time management , and soooo freaking delicious! best hydrabadi biryani and taste thanku')]","[]",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"83/1, 50 Feet Main Road, Goviayanahallo, Kumaraswamy Layout, Bangalore","Biryani Royals Garden","1","0","NEW",0,"Kumaraswamy Layout","Quick Bites","","North Indian, Biryani, Mughlai",500,"[]","[]",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"48, 2nd Cross, Jananeshwari Layout, Thindlu, Vidyaranyapura Post, Basavanagudi, Bangalore.","Multi Snacky Hub","0","0","NEW",0,"Basavanagudi","Quick Bites","","Fast Food",200,"[]","[]",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"99, 3rd Main Road, Hanumanthnagar, Banashankari, Bangalore","Sai Super Sandwich","1","0","NEW",0,"Banashankari","Quick Bites","","Sandwich, Beverages",200,"[]","['Veg Pizza', 'Capsicum Pizza', 'Tomato Pizza', 'Paneer Pizza', 'Mushroom Pizza', 'America Corn Pizza', 'Sai Special Pizza', 'Veg Burger', 'Cheese Burger', 'Paneer Burger', 'Mushroom Burger', 'Sai Special Burger', 'American Sweet Corn Sandwich', 'Cheese Sandwich', 'Sai Special Sandwich', 'Cheese Chilli Sandwich', 'Toast Sandwich', 'Capsicum Cheese Sandwich', 'Cheese Corn Dahi Sandwich', 'Dahi Toast', 'Cheese Sandwich Dahi', 'Chilli Cheese Dahi', 'Chocolate Sandwich', 'Cheese Gulkand Sandwich', 'Jam Toast', 'Gulkand Toast', 'Aloo Cheese Chilli', 'Special American Corn', 'Plain Cheese', 'Plain Sandwich', 'Dahi Boondi', 'Dahi Chudwa', 'Dahi Mix', 'Dahi Congress', 'Congress Masala', 'Om Puri Masala', 'Boondi Masala', 'Chow Chow Masala', 'Bhel Puri', 'Bread Masala', 'Masala Puri', 'Pani Puri', 'Sev Puri', 'Dahi Puri', 'Aloo Puri', 'Samosa Masala', 'Cheese Samosa Puri', 'Cheese Samosa Masala', 'Plain Samosa', 'French Fries', 'Wedges', 'Smileys', 'Veg Finger', 'Veg Nuggets', 'Garlic Pops', 'Twister', 'Twister Mayo', 'Twister Special Mayo', 'Falooda Ice Cream', 'Falooda Double', 'Falooda Kulfi', 'Royal Falooda', 'Kesar Falooda', 'Pista Falooda', 'Kesar Badam Kulfi', 'Kesar Pista Kulfi', 'Pista Badam Kulfi', 'Royal Park Ice Cream', 'Chocodates Ice Cream', 'Roasted Almonds Ice Cream', 'Dry Fruit Sundae Ice Cream', 'Fig and Honey Fudge Ice Cream', 'Chocolate Fudge Ice Cream', 'Scottish Chocolate Ice Cream', 'Black Currant Ice Cream', 'Strawberry Passion Ice Cream', 'Tutti Frutti Ice Cream', '5 Flavours Ice Cream', '3 in 1 with Nuts Ice Cream', 'Butterscotch Fudge Ice Cream', 'Pista Smoothie Ice Cream', 'Fig and Honey Smoothie Ice Cream', 'Chocolate Smoothie Ice Cream', 'Strawberry Smoothie Ice Cream', 'Butterscotch Smoothie Ice Cream', 'Vanilla Ice Cream', 'Strawberry Ice Cream', 'Mango Ice Cream', 'Chocolate Ice Cream', 'Pista Ice Cream', 'Butterscotch Ice Cream', 'Black Currant Ice Cream', 'Tutti Frutti Ice Cream', 'Sweet Lassi', 'Jeera Lassi', 'Dry Fruit Lassi', 'Black Currant Lassi', 'Strawberry Lassi', 'Chocolate Lassi', 'Pista Lassi', 'Kiwi Lassi', 'Royal Lassi', 'Kesar Lassi', 'Lychee Lassi', 'Pineapple Juice', 'Water Melon Juice', 'Anar Juice', 'Chiku Juice', 'Musk Juice', 'Apple Juice', 'Cold Coffee', 'Chocolate Coffee', 'Scotch Coffee', 'Almond Coffee', 'Anar Milkshake', 'Butter Fruit Milkshake', 'Custard Apple Milkshake', 'Cocktail Milkshake', 'Banana Milkshake', 'Chikku Milkshake', 'Papaya Milkshake', 'Muskmelon Milkshake', 'Apple Milkshake', 'Pista Milkshake', 'Green Banana Milkshake', 'Rose Milk Milkshake', 'Vanilla Milkshake', 'Strawberry Milkshake', 'Butterscotch Milkshake', 'Chocolate Milkshake', 'Fig and Honey Milkshake', 'Black Currant Milkshake', 'Oreo Milkshake']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"57, 2nd Main Road, 3rd Cross, KEB Road, Ittamadu, Stage 3, Banashankari, Bangalore","Gopi Ice Creams","0","0","NEW",0,"Banashankari","Dessert Parlor","","Ice Cream",100,"[]","[]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
